class_id,class_name,n_objects,hsv_h_hist_1,hsv_h_hist_2,hsv_h_hist_3,hsv_h_hist_4,hsv_h_hist_5,hsv_h_hist_6,hsv_h_hist_7,hsv_h_hist_8,hsv_h_hist_9,hsv_h_hist_10,hsv_h_hist_11,hsv_h_hist_12,hsv_h_hist_13,hsv_h_hist_14,hsv_h_hist_15,hsv_h_hist_16,hsv_s_hist_1,hsv_s_hist_2,hsv_s_hist_3,hsv_s_hist_4,hsv_s_hist_5,hsv_s_hist_6,hsv_s_hist_7,hsv_s_hist_8,hsv_v_hist_1,hsv_v_hist_2,hsv_v_hist_3,hsv_v_hist_4,hsv_v_hist_5,hsv_v_hist_6,hsv_v_hist_7,hsv_v_hist_8,b_mean,g_mean,r_mean,b_std,g_std,r_std,h_mean,s_mean,v_mean,h_std,s_std,v_std
10,Drink carton,30,0.072643,0.112158,0.03776,0.013628,0.006532,0.011491,0.008705,0.004848,0.020749,0.024194,0.00634,0.001807,0.001158,0.00128,0.003887,0.006152,0.095386,0.06799,0.059071,0.034622,0.046137,0.015785,0.009711,0.004631,0.004983,0.040091,0.040918,0.055018,0.063013,0.047279,0.033624,0.048408,110.470787,127.373672,133.651703,42.311852,42.176132,41.875462,40.306461,75.704315,143.337311,31.009897,34.315147,41.504002
11,Corrugated carton,30,0.093604,0.135856,0.017055,0.006245,0.004012,0.002582,0.004419,0.004888,0.00829,0.015782,0.010748,0.005773,0.003372,0.003016,0.007297,0.010395,0.11189,0.089974,0.045397,0.037961,0.028082,0.015522,0.003472,0.001036,0.014583,0.032343,0.036949,0.067139,0.053608,0.04815,0.055569,0.024992,109.384331,121.801743,135.143997,42.790298,43.282368,43.234707,39.278069,64.322556,138.622559,35.046886,37.95512,43.81551
12,Meal carton,21,0.042484,0.102992,0.060442,0.017648,0.015908,0.005441,0.00508,0.002178,0.0061,0.026437,0.008836,0.004755,0.005751,0.005096,0.011796,0.012389,0.117668,0.077195,0.075819,0.043201,0.014563,0.003166,0.001356,0.000364,0.003898,0.016912,0.028673,0.053757,0.070161,0.056854,0.059586,0.043492,128.710846,142.421021,151.345337,46.400433,46.570026,47.118919,49.852039,57.176212,156.756836,33.036449,27.745676,47.50288
13,Paper cup,30,0.075979,0.122374,0.012986,0.006448,0.009128,0.003811,0.003741,0.002276,0.01269,0.021118,0.012655,0.009809,0.005816,0.004397,0.005965,0.02414,0.104793,0.079956,0.050315,0.03543,0.03218,0.008781,0.016659,0.005219,0.002596,0.015221,0.027007,0.067011,0.071718,0.034749,0.060319,0.054712,122.084549,132.915451,153.296646,40.654793,40.005253,39.229046,50.955723,71.369209,158.111908,34.365795,28.072805,38.992714
14,Disposable plastic cup,30,0.063802,0.105423,0.022016,0.020299,0.019447,0.008119,0.009619,0.008,0.01617,0.016268,0.006353,0.002911,0.001891,0.001931,0.009614,0.021471,0.085843,0.077477,0.069911,0.033455,0.026652,0.01814,0.017551,0.004305,0.024089,0.029294,0.04161,0.059654,0.043981,0.043764,0.047238,0.043704,103.128075,117.40126,131.91864,42.130074,39.588066,39.416821,49.837566,77.278374,138.531799,33.513447,34.838833,41.293568
15,Foam cup,8,0.019786,0.099243,0.014526,0.006226,0.016673,0.009145,0.007426,0.012828,0.049906,0.064453,0.008484,0.02184,0.000834,0.00061,0.000702,0.000651,0.126058,0.133118,0.051748,0.014292,0.005371,0.001607,0.000804,0.000336,0.020487,0.019928,0.017853,0.04009,0.0578,0.073425,0.045909,0.057841,141.808533,145.650055,143.461975,58.776875,53.843456,50.073799,63.777496,45.441437,156.441772,28.499729,25.251293,56.544472
16,Food waste,5,0.133626,0.07972,0.029183,0.013867,0.000195,0.00013,4.9e-05,1.6e-05,0.000244,0.003825,0.009391,0.002262,0.001904,0.001921,0.004134,0.052865,0.037679,0.047591,0.059261,0.087826,0.078369,0.01932,0.002718,0.00057,3.3e-05,0.038005,0.067855,0.037923,0.041374,0.04235,0.053678,0.052116,92.377342,106.837601,144.597992,39.243626,46.039494,56.630959,47.232033,97.538086,146.148682,52.050049,37.018314,55.831505
17,Plastic lid,30,0.062508,0.121365,0.014111,0.010986,0.008162,0.005008,0.003035,0.002051,0.018503,0.057186,0.016108,0.005111,0.001408,0.001145,0.00147,0.005176,0.103781,0.092345,0.057254,0.031974,0.023484,0.006584,0.012533,0.005379,0.011795,0.027097,0.028212,0.046823,0.079533,0.054555,0.04451,0.040809,119.842216,130.91835,138.654266,39.383682,38.634102,37.121586,48.385635,66.539505,147.755478,25.313316,27.627851,38.090778
18,Metal lid,2,0.041951,0.275798,0.002523,0.000122,0.000326,0.000122,0.000407,0.000326,0.002848,0.005452,0.001302,0.000203,0.000326,0.000651,0.000732,0.000244,0.02299,0.030111,0.115967,0.097005,0.065267,0.001994,0.0,0.0,0.012492,0.087687,0.059408,0.041016,0.090373,0.033895,0.006388,0.002075,66.641846,84.226929,103.26416,35.32872,41.037201,47.504635,17.849121,93.276123,103.516113,17.290127,29.941151,47.611221
19,Other plastic,30,0.051006,0.149371,0.028817,0.010737,0.006261,0.006966,0.006212,0.005273,0.014119,0.021376,0.003554,0.00281,0.003554,0.007107,0.011507,0.004663,0.098988,0.097266,0.053399,0.041102,0.032867,0.007511,0.001609,0.000591,0.002973,0.039209,0.045711,0.07612,0.060381,0.031806,0.028657,0.048475,113.180557,121.910324,128.266251,32.412289,32.940937,34.154377,42.91774,63.751759,137.750198,22.332373,24.308199,33.127056
20,Tissues,28,0.034834,0.135138,0.025132,0.009751,0.005723,0.002139,0.003616,0.00452,0.024062,0.030654,0.018002,0.004897,0.00184,0.001674,0.007754,0.023597,0.114583,0.063102,0.054847,0.042597,0.044343,0.006702,0.003842,0.003316,0.017479,0.027239,0.031436,0.040013,0.066903,0.064651,0.055618,0.029994,114.843002,125.160629,139.080856,45.335033,44.742611,43.170086,56.084064,68.45488,144.358795,28.902464,28.310976,44.660343
21,Wrapping paper,10,0.046997,0.098966,0.033447,0.008911,0.005737,0.007967,0.008496,0.001717,0.029728,0.046045,0.016268,0.009399,0.003703,0.00634,0.004305,0.005306,0.147786,0.098649,0.044027,0.021387,0.010628,0.004655,0.002897,0.003304,0.008341,0.027897,0.041903,0.052563,0.060506,0.050122,0.039876,0.052124,131.655273,133.644852,133.606766,49.624454,46.348728,47.832584,55.984253,48.218456,147.579712,36.50597,36.102226,47.176025
22,Normal paper,30,0.065232,0.103166,0.013224,0.009825,0.011768,0.010775,0.024807,0.005781,0.015169,0.0294,0.012674,0.008672,0.008073,0.003103,0.004742,0.006923,0.11512,0.079137,0.064445,0.044252,0.023177,0.005048,0.001636,0.000518,0.011971,0.019743,0.035322,0.053342,0.083266,0.054354,0.042773,0.032563,121.417862,130.017715,134.767548,41.036816,38.569019,37.161243,51.191185,60.548691,144.233536,30.456896,25.760569,39.636806
23,Paper bag,20,0.052307,0.133016,0.025069,0.008219,0.01001,0.005448,0.005066,0.002783,0.0054,0.02629,0.019088,0.006437,0.005977,0.004932,0.010177,0.013114,0.125618,0.093518,0.038241,0.052397,0.016866,0.004736,0.001619,0.000338,0.016496,0.037097,0.049337,0.048547,0.053975,0.041382,0.042725,0.043774,112.198097,122.502525,133.175949,44.750565,43.885323,45.995693,50.17849,55.529846,137.49353,36.253765,30.060049,46.736122
24,Plastic film,30,0.064665,0.101131,0.02334,0.011325,0.009003,0.005602,0.008298,0.004061,0.010384,0.029536,0.020578,0.007514,0.00548,0.004601,0.012427,0.015389,0.143473,0.068652,0.066816,0.025903,0.017863,0.006703,0.00287,0.001053,0.016873,0.025795,0.042912,0.044013,0.049108,0.045945,0.039903,0.068785,124.471306,134.683853,145.018555,44.427376,43.234379,43.354019,55.502491,53.616001,149.956039,40.081036,24.971106,44.062
25,Garbage bag,23,0.04547,0.112007,0.041925,0.015837,0.015795,0.004731,0.004692,0.00553,0.019103,0.034859,0.013109,0.002105,0.001819,0.001992,0.003552,0.010806,0.093124,0.081762,0.057331,0.041564,0.028462,0.019004,0.009794,0.002293,0.051811,0.072181,0.048902,0.046447,0.032071,0.032354,0.034378,0.01519,77.8638,90.472023,94.80043,35.864948,41.324989,42.676937,48.403862,72.666512,102.921066,36.782574,34.943172,43.868038
26,Other plastic wrapper,30,0.049422,0.124504,0.027851,0.008046,0.01231,0.007929,0.005352,0.003415,0.021655,0.037739,0.015663,0.006624,0.004367,0.001671,0.002875,0.003909,0.113081,0.06961,0.065725,0.024843,0.025779,0.019401,0.007172,0.007723,0.009554,0.02557,0.036458,0.059866,0.083011,0.044477,0.030648,0.04375,118.556557,126.012848,127.663765,39.773647,38.813187,38.544666,48.008286,69.87751,142.221222,23.299158,34.169106,40.186203
27,Single-use carrier bag,30,0.032129,0.112131,0.033662,0.01381,0.00832,0.007248,0.012839,0.011073,0.030249,0.050518,0.011833,0.002661,0.001712,0.001478,0.001847,0.001823,0.125233,0.065318,0.060929,0.052398,0.018989,0.004319,0.002243,0.003904,0.009738,0.034918,0.035463,0.057902,0.052816,0.052951,0.051788,0.037758,122.569595,131.6633,130.584351,48.574638,46.980141,48.255566,51.622559,60.698494,144.03537,26.418827,31.92478,49.71682
28,Crisp packet,28,0.065842,0.11808,0.040757,0.013965,0.010045,0.006356,0.004249,0.002395,0.010367,0.011754,0.007164,0.007888,0.004284,0.00365,0.005188,0.021348,0.100144,0.076451,0.050316,0.04237,0.030706,0.017715,0.013018,0.002613,0.007098,0.027783,0.032264,0.043608,0.048848,0.053635,0.059913,0.060184,123.409935,135.456711,150.86496,47.037567,47.490356,48.845165,45.505962,72.632881,157.297211,38.540699,38.1208,47.171368
29,Spread tub,6,0.064982,0.12873,0.016452,0.004652,0.004286,0.002333,0.004272,0.001343,0.007636,0.03083,0.003798,0.001261,0.00472,0.008423,0.03304,0.016574,0.151638,0.056681,0.033325,0.018785,0.068726,0.003825,0.000353,0.0,0.001573,0.014893,0.029365,0.078383,0.119113,0.044067,0.029907,0.016032,115.391357,121.198814,137.033127,34.247871,36.287899,34.445778,56.340534,57.97884,140.01445,44.580402,26.042656,36.257656
30,Disposable food container,21,0.036199,0.168717,0.03039,0.018198,0.011579,0.007119,0.004922,0.001845,0.004302,0.013978,0.017764,0.006177,0.00367,0.002658,0.003581,0.002236,0.117982,0.06901,0.052114,0.051886,0.030928,0.0072,0.002352,0.00186,0.025274,0.039113,0.03547,0.048014,0.071839,0.067201,0.035114,0.011308,101.895706,114.139091,124.928932,36.312904,35.767414,36.106815,37.909504,63.450626,127.6903,26.191702,25.273977,36.859303
31,Foam food container,11,0.060532,0.118956,0.022483,0.019457,0.013139,0.0031,0.005415,0.007317,0.008944,0.012259,0.015403,0.003884,0.006503,0.010431,0.009729,0.01578,0.086973,0.086293,0.096547,0.042961,0.01436,0.004661,0.001376,0.000163,0.016639,0.020249,0.022032,0.04359,0.057151,0.066029,0.05795,0.049694,122.709518,137.837601,149.249329,51.385178,50.549217,51.64679,50.229603,62.797829,154.955338,39.011356,28.946882,51.65691
32,Plastic glooves,3,0.019097,0.20025,0.013401,0.023763,0.067518,0.007107,2.7e-05,0.0,0.0,0.000217,0.000136,0.000109,0.000163,0.000136,0.000326,0.001085,0.00236,0.037869,0.161513,0.089844,0.033257,0.007595,0.000841,5.4e-05,0.002333,0.019721,0.043511,0.046115,0.036838,0.034044,0.092258,0.058512,107.88192,141.52507,153.745682,30.11714,34.795456,33.129044,25.934408,92.782387,162.024902,10.029133,22.767237,34.915287
33,Plastic utensils,26,0.043463,0.137066,0.028126,0.023735,0.016373,0.004226,0.002983,0.00256,0.009985,0.021857,0.011118,0.007021,0.003909,0.002773,0.004795,0.013343,0.110474,0.068685,0.055057,0.047097,0.028339,0.0159,0.003343,0.004438,0.009766,0.029951,0.056468,0.059768,0.054562,0.053104,0.030004,0.03971,106.392769,121.341393,133.254379,49.523434,48.944534,46.713051,45.691799,68.758263,137.713211,32.561031,31.12565,48.066204
34,Pop tab,30,0.057728,0.128752,0.028602,0.009603,0.012863,0.009285,0.014114,0.0029,0.012476,0.020744,0.013327,0.001761,0.001316,0.003141,0.009304,0.007416,0.135726,0.062329,0.058279,0.037166,0.02742,0.007555,0.002705,0.002154,0.007056,0.041729,0.057454,0.056692,0.051923,0.047835,0.026853,0.043791,115.099022,125.237076,130.231827,39.974754,40.247372,39.859085,44.213223,58.225822,135.476151,27.57641,26.844786,39.667889
35,Rope & strings,24,0.058441,0.131432,0.023712,0.008392,0.007663,0.008233,0.011125,0.006266,0.018968,0.033569,0.011529,0.001689,0.001299,0.001367,0.003913,0.005734,0.08627,0.094937,0.084717,0.039517,0.01456,0.005537,0.002957,0.004839,0.017239,0.044305,0.026581,0.0527,0.05502,0.045508,0.059648,0.032332,109.204628,122.774353,131.516983,32.086952,31.250322,31.310356,43.992107,64.744698,138.961716,26.354231,28.732275,32.749069
36,Scrap metal,13,0.098395,0.113807,0.052108,0.014636,0.006141,0.003042,0.002022,0.002066,0.009403,0.004589,0.003718,0.001596,0.001897,0.002078,0.00596,0.011875,0.150578,0.080886,0.051514,0.028214,0.01222,0.005647,0.002923,0.001352,0.021729,0.029967,0.063358,0.064378,0.056778,0.046612,0.040052,0.01046,104.249588,113.174652,121.721565,50.061077,49.92033,50.197716,32.6712,50.096287,123.233795,39.536972,38.78619,50.690037
37,Squeezable tube,6,0.024048,0.123779,0.063137,0.026611,0.031426,0.001465,0.002062,0.009169,0.012709,0.008884,0.013753,0.004788,0.001655,0.001777,0.002645,0.005425,0.137912,0.037272,0.041721,0.036323,0.048272,0.025391,0.004476,0.001967,0.025133,0.045071,0.023736,0.031887,0.037923,0.052178,0.074178,0.043226,116.060707,131.606033,139.275711,36.393063,40.742607,42.439205,41.470703,70.314415,144.560013,26.128191,25.961897,42.345062
38,Plastic straw,30,0.085254,0.123812,0.026918,0.019466,0.008965,0.003111,0.001394,0.004289,0.0131,0.016995,0.007449,0.005092,0.00255,0.00252,0.003985,0.008434,0.064985,0.08839,0.086214,0.047342,0.020882,0.008409,0.015329,0.001782,0.005485,0.046596,0.046002,0.05316,0.064296,0.054818,0.026169,0.036808,104.386368,119.217453,127.901833,43.945789,45.209152,44.32251,37.901081,75.137169,135.799866,26.96493,31.82147,46.433731
39,Styrofoam piece,30,0.072786,0.092334,0.024978,0.009524,0.009877,0.003388,0.004788,0.004755,0.023356,0.056123,0.017578,0.003046,0.001978,0.001893,0.002612,0.004316,0.158794,0.06977,0.042662,0.031809,0.023017,0.004899,0.001687,0.000694,0.018129,0.031703,0.037622,0.049957,0.037391,0.042942,0.05373,0.06186,133.306213,138.330963,141.283661,51.551456,50.255085,50.089611,50.580402,50.758789,148.600037,30.892073,29.499372,50.957226
40,Unlabeled litter,30,0.042263,0.11425,0.029793,0.010916,0.008426,0.00577,0.006977,0.013658,0.025081,0.020643,0.019596,0.007243,0.005404,0.003716,0.010598,0.008998,0.124094,0.105905,0.047719,0.032482,0.010021,0.006188,0.004253,0.002672,0.01735,0.021859,0.032406,0.050155,0.061678,0.053635,0.032281,0.06397,130.274399,138.012604,142.666901,46.505516,44.503391,42.606834,54.483852,54.206509,150.704163,25.969975,27.014166,45.014198
41,Cigarette,30,0.083341,0.155387,0.012828,0.006193,0.004967,0.004951,0.004837,0.001134,0.005176,0.018069,0.009361,0.013463,0.001321,0.001207,0.006573,0.004525,0.100732,0.038178,0.055197,0.046395,0.032888,0.032802,0.016949,0.010192,0.009641,0.03591,0.058607,0.041007,0.03428,0.039068,0.034836,0.079983,105.000755,121.801201,145.499084,35.857285,37.156242,37.589214,36.136166,87.317314,148.072723,18.811733,25.53359,38.021091
